Task,Model,Fold,C-index,IBS,AUC_mean,AUC_t=673.2,AUC_t=1517.5,AUC_t=2406.0,AUC_t=446.8,AUC_t=1330.0,AUC_t=2215.0,AUC_t=501.5,AUC_t=1345.0,AUC_t=2068.5,AUC_t=563.0,AUC_t=1399.0,AUC_t=2304.0,AUC_t=515.5,AUC_t=1339.5,AUC_t=2156.0,AUC_t=563.5,AUC_t=1321.0,AUC_t=2208.8,AUC_t=521.8,AUC_t=1448.0,AUC_t=2178.2,AUC_t=476.5,AUC_t=1325.0,AUC_t=2277.0,AUC_t=568.5,AUC_t=1352.0,AUC_t=2330.5,AUC_t=576.2,AUC_t=1418.5,AUC_t=2218.2,AUC_t=508.0,AUC_t=1276.0,AUC_t=2221.0,AUC_t=495.0,AUC_t=1273.0,AUC_t=2152.0,AUC_t=440.5,AUC_t=1344.5,AUC_t=2069.8,AUC_t=451.8,AUC_t=1220.0,AUC_t=2000.5,AUC_t=473.0,AUC_t=1367.0,AUC_t=2166.0,AUC_t=457.5,AUC_t=1400.0,AUC_t=2357.0,AUC_t=361.0,AUC_t=1227.0,AUC_t=2029.5,AUC_t=370.0,AUC_t=1130.0,AUC_t=2030.8,AUC_t=453.2,AUC_t=1346.5,AUC_t=2161.5,AUC_t=454.0,AUC_t=1366.5,AUC_t=2276.0
CV Mortality,Embedding Cox,4,0.7800119373510134,0.14537462556742994,0.8144271293338714,,,,,,,,,,,,,,,,,,,,,,,,,0.8177008021759294,0.8069433132202399,0.8180545234309863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Kaplan-Meier,5,0.5,0.11754353865480417,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Multivariate Cox,5,0.787466740134417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepSurv,5,0.7743013963867876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepHit,5,0.7649935185337118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,TorchSurv (Custom),5,0.7859840932653757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,RSF,5,0.7881518752401598,0.09583354385827131,0.8165597360151986,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8165110208531112,0.8190042021514401,0.8145328094733474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,GBSA,5,0.7823409145284893,0.09763135120631372,0.8118556206635653,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8186844283694905,0.814693519101072,0.8039236311592698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Embedding Cox,5,0.7476455277715346,0.13892817543722022,0.7855803645871323,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8082264576339713,0.7920708719835172,0.7617448095116401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Kaplan-Meier,1,0.5,0.1294114602252602,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Multivariate Cox,1,0.7674470486775905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepSurv,1,0.6717820405893801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepHit,1,0.6930497636919656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,TorchSurv (Custom),1,0.7575909936967865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,RSF,1,0.766195063315164,0.10582802176463618,0.8045086084834845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806021113332926,0.7989360057590275,0.807907448716621,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,GBSA,1,0.7651495223476057,0.10611490914539569,0.8004434871952006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7987520287500331,0.7959342083874686,0.8055240936027587,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Embedding Cox,1,0.5263616173253464,0.15833635951690794,0.5416039038430185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5693685448436201,0.5355964817600832,0.5243783858645856,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Kaplan-Meier,2,0.5,0.12843368469154115,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
